,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,New Recoverd,Active Cases,Serious Cases
157,150,Seychelles,42474,0,166,0,41727,0,581,0
158,151,Curaçao,42241,0,274,0,41612,0,355,3
159,152,Andorra,41717,0,153,0,41021,0,543,14
160,153,Burundi,40552,0,38,0,773,0,39741,0
161,154,Mauritius,37714,0,990,0,36009,0,715,0
162,155,Mayotte,37363,0,187,0,2964,0,34212,0
163,156,Togo,36995,0,273,0,36702,0,20,0
164,157,Guinea,36459,0,440,0,35976,0,43,8
165,158,Aruba,34846,0,212,0,34516,0,118,3
166,159,Faeroe Islands,34658,0,28,0,7693,0,26937,5
167,160,Tanzania,33872,0,803,0,0,0,0,7
168,161,Bahamas,33626,0,798,0,32384,0,444,0
169,162,Lesotho,32910,0,697,0,24155,0,8058,0
170,163,Mali,30874,0,732,0,29978,0,164,0
171,164,Haiti,30703,0,835,0,29555,0,313,0
172,165,Isle of Man,28416,0,87,0,26794,0,1535,0
173,166,Benin,26952,0,163,0,25506,0,1283,5
174,167,Somalia,26485,0,1350,0,13182,0,11953,0
175,168,Congo,24079,0,385,0,20178,0,3516,0
176,169,Saint Lucia,23538,0,368,0,22953,0,217,0
177,170,Timor-Leste,22879,0,130,0,22730,0,19,0
178,171,Cayman Islands,22828,0,27,0,8553,0,14248,1
179,172,Burkina Faso,20853,0,382,0,20439,0,32,0
180,173,Nicaragua,18491,0,225,0,4225,0,14041,0
181,174,Gibraltar,17837,0,102,0,16579,0,1156,0
182,175,South Sudan,17490,0,138,0,13514,0,3838,1
183,176,Tajikistan,17388,0,124,0,17264,0,0,0
184,177,Liechtenstein,17225,0,84,0,17058,0,83,0
185,178,San Marino,16561,0,115,0,16175,0,271,4
186,179,Equatorial Guinea,15908,0,183,0,15701,0,24,5
187,180,Solomon Islands,15677,0,141,0,14109,0,1427,2
188,181,Djibouti,15631,0,189,0,15427,0,15,0
189,182,Grenada,14984,0,220,0,14229,0,535,4
190,183,CAR,14649,0,113,0,6859,0,7677,2
191,184,Bermuda,13832,0,131,0,13289,0,412,0
192,185,Dominica,12161,0,63,0,12025,0,73,0
193,186,Gambia,11995,0,365,0,11591,0,39,0
194,187,Greenland,11971,0,21,0,2761,0,9189,4
195,188,Monaco,11869,0,54,0,11672,0,143,4
196,189,Yemen,11819,0,2149,0,9009,0,661,23
197,190,Tonga,10494,0,11,0,9255,0,1228,0
198,191,Saint Martin,10462,0,63,0,1399,0,9000,7
199,192,Samoa,10210,0,20,0,1605,0,8585,4
200,193,Sint Maarten,10065,0,86,0,9913,0,66,10
201,194,Caribbean Netherlands,9804,0,34,0,9714,0,56,0
202,195,Eritrea,9735,0,103,0,9631,0,1,0
203,196,Niger,8957,0,309,0,8550,0,98,1
204,197,Guinea-Bissau,8210,0,171,0,7530,0,509,6
205,198,Comoros,8100,0,160,0,7933,0,7,0
206,199,Sierra Leone,7681,0,125,0,0,0,0,0
207,200,Antigua and Barbuda,7654,0,137,0,7464,0,53,1
208,201,Vanuatu,7622,0,14,0,7137,0,471,3
209,202,Liberia,7434,0,294,0,5747,0,1393,2
210,203,Chad,7412,0,193,0,4874,0,2345,0
211,204,St. Vincent Grenadines,6786,0,106,0,6641,0,39,0
212,205,British Virgin Islands,6355,0,62,0,0,0,0,1
213,206,Turks and Caicos,5995,0,36,0,5918,0,41,4
214,207,Sao Tome and Principe,5964,0,73,0,5884,0,7,0
215,208,Saint Kitts and Nevis,5570,0,43,0,5519,0,8,0
216,209,Cook Islands,5229,0,1,0,4990,0,238,0
217,210,Palau,4690,0,6,0,4043,0,641,1
218,211,St. Barth,4544,0,6,0,0,0,0,0
219,212,Kiribati,3089,0,13,0,2601,0,475,3
220,213,Anguilla,2788,0,9,0,2766,0,13,4
221,214,Saint Pierre Miquelon,2701,0,1,0,2449,0,251,1
222,215,Diamond Princess,712,0,13,0,699,0,0,0
223,216,Wallis and Futuna,454,0,7,0,438,0,9,0
224,217,Montserrat,371,0,2,0,198,0,171,0
225,218,Falkland Islands,195,0,0,0,0,0,0,0
226,219,Macao,82,0,0,0,82,0,0,0
227,220,Vatican City,29,0,0,0,29,0,0,0
228,221,Marshall Islands,17,0,0,0,14,0,3,0
229,222,Western Sahara,10,0,1,0,9,0,0,0
230,223,MS Zaandam,9,0,2,0,7,0,0,0
231,224,Niue,9,0,0,0,8,0,1,0
232,225,Micronesia,7,0,0,0,1,0,6,0
233,226,Nauru,5,0,0,0,3,0,2,0
234,227,Saint Helena,2,0,0,0,2,0,0,0
235,228,China,218571,373,5141,13,200675,2125,12755,650
236,0,Total:,98656294,0,1462943,0,94348717,0,2844634,7207
237,0,Total:,148481916,109375,1425433,176,126417346,67069,20639137,12645
238,0,Total:,56879752,0,1294985,0,53031574,0,2553193,10756
239,0,Total:,192060650,1397,1821494,5,178301833,173890,11937323,8681
240,0,Total:,7385763,48560,10872,67,6858416,9096,516475,170
241,0,Total:,11921074,0,253860,0,11120021,0,547193,964
242,0,Total:,721,0,15,0,706,0,0,0
243,0,Total:,515386170,159332,6269602,248,470078613,250019,39037955,40423
